corpus: preloaded/ententen20_tt31_1
subcorpus: English Wikipedia
size: 133618
query: Query:[lempos_lc="(love)-v"]
Reference,Sentence
wikipedia.org | <s> My father and mother came to love him very much. </s> 
wikipedia.org | <s> But for some reason, he didn't love Marvin and, what's worse, he didn't want me to love Marvin either. </s> 
wikipedia.org | <s> Amanda finds a drunken Dex and they make love again - only to be caught in the act by Alexis in episode 136. </s> 
wikipedia.org | <s> Chris O'Dell with Katherine Ketcham, Miss O'Dell: My Hard Days and Long Nights with The Beatles, The Stones, Bob Dylan, Eric Clapton, and the Women They Loved , Touchstone (New York, NY, 2009; ISBN 978-1-4165-9093-4). </s> 
wikipedia.org | <s> Her flirtations with Logan are explored more in-depth in the first few issues of the title, and she confesses shortly after Logan's death that she loved him. </s> 
wikipedia.org | <s> Considering that "the love with which a man loves himself is the form and root of friendship" and quotes Aristotle that "the origin of friendly relations with others lies in our relations to ourselves", he concluded that though we are not bound to love others more than ourselves, we naturally seek the common good, the good of the whole, more than any private good, the good of a part. </s> 
wikipedia.org | <s> Her works include, Jan Vedder's Wife, The Border Shepherdess, Feet of Clay, Friend Olivia, The Bow of Orange Ribbon, Remember the Alamo, She Loved a Sailor, A Daughter of Fife, The Squire of Sanddal Side, Paul and Christina, Master of His Fate, The Household of McNeil, The Last of the Macallisters, Between Two Loves, A Sister to Esau, A Rose of a Hundred Leaves, A Singer from the Sea, The Beads of Tasmer, The Hallam Succession, The Lone House, Christopher and Other Stories, The Lost Silver of Briffault. </s> 
wikipedia.org | <s> He suggested it was unfair that we are born with the desire to be loved by others, but unavoidable due to the consequence of the Fall, or original sin. </s> 
wikipedia.org | <s> When one imagines their loved one as Creusa, it seems that she had everything waiting for her in life but was cruelly stolen from our world far before her time, and Creon likewise functions as a stand-in for the family member of the deceased who would feel the loss of their loved one most. </s> 
wikipedia.org | <s> In 2004, the chairman of the National Endowment for the Arts (NEA), Dana Gioia, and the poet Marilyn Nelson (the daughter of a Tuskegee Airman), conceived an idea to encourage military personnel and their loved ones to write about their wartime experiences in Iraq and Afghanistan. </s> 
wikipedia.org | <s> Based on Mary's husband Arthur De Wint Foote, Oliver is a bright, straightforward, honest man who has focused on supporting the family he loves . </s> 
wikipedia.org | <s> Both are determined to win – Fromage having devoted his entire life to the marathon, Mambo determined to make a name for herself – they find themselves surprised when their minds wander to thoughts of mutual admiration and then to love , culminating in the pair holding hands for the rest of the race and crossing the finish line together. </s> 
wikipedia.org | <s> Mother Superior is aware that Mary and the old man used to write to each other and that Mary respected and loved him a lot. </s> 
wikipedia.org | <s> Jeselnik, who refers to roasts as "the Super Bowl of comedy," loved roasts during college and always tried to write for them. </s> 
wikipedia.org | <s> A beauty and a heartbreaker, who loved partying and quite enjoyed herself in the company of men, she caused great suffering to her husband, V.D. Starov, a teacher of Latin at the same school, who, in his own turn, served as a prototype for Nikitin in "The Teacher of Literature". </s> 
wikipedia.org | <s> Rohail has never experienced the sweetness or the pain of love, though his friend back at home in Turkey, Madiha (Mehreen Raheel) has only loved him. </s> 
wikipedia.org | <s> The siblings' lives are thrust into a world of politics, power and corruption that shake their core values, murder their loved ones and potentially destroy themselves. </s> 
wikipedia.org | <s> They have collaborated with many acts like Snoop Dogg in "Emergency" and "You Never Know (Could You Be Loved )" (the latter being credited to Snoop Lion rather than Snoop Dogg). </s> 
wikipedia.org | <s> Loving the Cotswolds. </s> 
wikipedia.org | <s> In August 2020, Ken Wyatt, Minister for Indigenous Australians, said that he would love to see the flag freely used across Australia, and former AFL player Michael Long said its absence would have a negative effect on the players in the Sir Doug Nicholls Indigenous Round. </s> 
wikipedia.org | <s> At the end of the challenge, Tipara volunteered to have shorter calls with their loved ones to give time to Kadina, because if Kadina had not lost one of their nails in the sand in the challenge, they might have won. </s> 
wikipedia.org | <s> A kappa who loves kiwis (a pun, as the Japanese words for cucumber and kiwi sound alike), he can understand the feelings of both people and objects. </s> 
wikipedia.org | <s> The song is about one's devotion to the one they love; it's narrator telling the girl he's falling for that if she let their "hearts combine" that he vows to always let her know how much he needs, wants, and loves her. </s> 
wikipedia.org | <s> Despite sustained lobbying by the public in December 2016, DJ Pete Price ignored the pleas and the balloon release went ahead at the end of the programme 'Remember A Loved One At Christmas'. </s> 
wikipedia.org | <s> Radio announcer Stu Harvey wrote "Simple fast melodic punk rock played in the vein of The Ramones and Screeching Weasel, love it! </s> 
wikipedia.org | <s> She begs him not to leave her because she has found home in his company ("End Duet"), but despite this, he dies; Belle sobs on his body and says she loves him just before the last rose petal falls. </s> 
wikipedia.org | <s> In 2014, Who made her American television debut when she performed "Somebody Loves You" on Watch What Happens: Live. </s> 
wikipedia.org | <s> In a review of the single, Shutler described "Black Rain" as "Epic and built to inspire a thousand ideas", praising it as "the first time Creeper have properly stuck their flag in the ground, taken a little bit of everything they love , and proudly declared 'this is us'". </s> 
wikipedia.org | <s> She loves it when people pee on her, which is what made her become attracted to Sammy since he peed on her while she was drunk. </s> 
wikipedia.org | <s> Meanwhile, the military has scheduled a "visitors' day" for the residents of Chester's Mill, where family members and friends of people trapped in the dome can come and visit their loved ones. </s> 
wikipedia.org | <s> We were quite a big, physical team and, in Bob Newton, had this barrel-chested striker who just loved a battle with the opposition centre-halves. </s> 
wikipedia.org | <s> Songwriter Mark Sanders has written that he was inspired to choose the name "Bobbie Ann Mason" for the character in the song because he loved the books In Country and Shiloh and Other Stories by the novelist Bobbie Ann Mason. </s> 
wikipedia.org | <s> However, the match takes place the same day as Topanga's Sweet Sixteen– forcing the kid who "wants everyone to love him" to both help a friend and celebrate a girlfriend's birthday at the same time. </s> 
wikipedia.org | <s> He followed Sharon to Jack's cabin, where he apologized and explained how much he still loved her, but she was not able to return his feelings. </s> 
wikipedia.org | <s> Chorus girl Delight "Dee" Foster (Alice White) is in love with stage manager Billy Buvanny (Charles Delaney) and he also loves her. </s> 
wikipedia.org | <s> With a lot of encouragement, she stepped onto the stage and discovered that not only did she love singing, she also loved being on stage. </s> 
wikipedia.org | <s> When Kar finds himself fighting against the local gang's leader, he meets a young woman named Jade, whom he falls in love with. </s> 
wikipedia.org | <s> When Bart grows lonely and wants to go home, Burns tricks him into thinking his family no longer loves him by staging a fake video with actors portraying the Simpsons. </s> 
wikipedia.org | <s> Conrad receives a hero's welcome in Sweet Apple, and Hugo worries that Kim likes Conrad more than she likes him, but Kim assures Hugo that he is the only one she loves ("One Boy"). </s> 
wikipedia.org | <s> As described in a film magazine, Armand Duval (Roscoe), a son in the proud but poor house of Duval, loves Camille (Bara), a notorious Parisian beauty. </s> 
wikipedia.org | <s> Love (charity) is described as an extraordinary force motivating people to strive for the common good: "The more we strive to secure a common good corresponding to the real needs of our neighbours, the more effectively we love them". </s> 
wikipedia.org | <s> Carol's friend gives her some perspective by revealing how much the hospital staff and patients love her, and so she forgives the group, content that at least Jenny isn't dating Daniel anymore. </s> 
wikipedia.org | <s> She Loves Me, She Loves Me Not features 12 of the most renowned women in photography showing images of men in their work. </s> 
wikipedia.org | <s> The film also ranked at number 28 on Empire's list of the 100 Greatest Movies of All Time, which stated: " Love , honour, thrills, wisecracks and a hit tune are among the attractions, which also include a perfect supporting cast of villains, sneaks, thieves, refugees and bar staff. </s> 
wikipedia.org | <s> Later in Season 8, Charlie tells Rose that he loves her and they begin a romantic relationship with Charlie even taking her on a romantic getaway to Paris despite the fact that he still thinks she is truly married. </s> 
wikipedia.org | <s> Horowitz loved the emotion in the scene due to the audience only just learning Charlotte's backstory, and Kitsis thought Mader's performance "elevate the words to a whole other level". </s> 
wikipedia.org | <s> He was the measure of the love they needed to live, to carry out his commandment, which they discovered as the heart of the Gospel: " Love one another as I have loved you" (John 15:12). </s> 
wikipedia.org | <s> The Government of New Zealand has recognized this as one of the most important issues for New Zealanders, with an event such as Children's Day helping to focus on the practice of sharing, loving and caring as well as honoring tamariki (Maori for 'children'). </s> 
wikipedia.org | <s> In addition to music, Gaffney loved sports, especially boxing, and earned an LA Golden Gloves championship in 1967 and even trained with boxing hall-of-famer Jackie McCoy. </s> 
wikipedia.org | <s> Pastor Bob Beeman of Sanctuary International stated that this is a compliment to secular music, as it lets people to listen to the music they enjoyed without feeling like they are giving up on the style they love and allows bands to crossover into mainstream success. </s> 
wikipedia.org | <s> Le Monde called it a "beautiful novel, powerful, different, and ambitious" about " love so total that it locks up, isolates and colonises the partner until destruction annihilates the outside world". </s> 
wikipedia.org | <s> A staple of the walkaround was the cakewalk, which white audiences loved despite not realizing that it originated with plantation slaves imitating their masters' walks. </s> 
wikipedia.org | <s> Claire goes back for Meredith, who has lost control of her pyrokinesis after being injected with adrenaline by Sylar, but is persuaded to leave her behind, telling Meredith she loves her and escaping with Noah and Angela as the building goes up in flames. </s> 
wikipedia.org | <s> Many musicians who participated in George's Jesus Loves You project are also featured on Conscience, such as keyboardist Richard Cottle and, most notably, guitarist John Themis, who authored much of George's solo works after the Jesus Loves You project. </s> 
wikipedia.org | <s> Krystal Spencer of Your EDM described the music video as "a riot to watch Alesso slide and spin through high school in the hopes of impressing his teacher", further commenting that "fans will love seeing a different side of Alesso". </s> 
wikipedia.org | <s> Sun Meri Maya meaning Listing My Lover this song was recorded about his love life and school love life and the songs included in this album super hit songs such as Jadi Chu Ma and School, after the success of the solo song and album he started working in his second album called Aama meaning Mother which was recorded for his mother, family and his background, the songs in this album became blockbuster, the songs such as Aama became highly known by other audience which led him to be one of the popular singers, and loved by teens since he would mainly target teens. </s> 
wikipedia.org | <s> Jim realizes he loves Pam for being so dorky, and comes into the office wearing his Popeye costume and carrying Cece (dressed as Swee'Pea), much to the delight of Pam. </s> 
wikipedia.org | <s> The last person to see him alive is Peggy, who tells him that despite Cotton's constant torture of his son, Hank has always loved him and that she hopes he will live forever in the friendless, spiteful existence he has made for himself as the unhappy, unpleasant person he is. </s> 
wikipedia.org | <s> Jesuit priest James Martin, replied to the Nashville Statement with his own set of affirmations and denials, beginning with "I affirm: That God loves all LGBT people". </s> 
wikipedia.org | <s> Beginning with the show in Cleveland, Dion added "That's the Way It Is", "If You Asked Me To", "Love Can Move Mountains", "The Prayer", "To Love You More", "The Reason", "Because You Loved Me" and "Imagine"; she removed "Dans un autre monde", "Terre", "À vous", "L'amour existe encore", "Encore un soir", "Regarde-moi", "Un garçon pas comme les autres (Ziggy)", "S'il suffisait d'aimer", "Pour que tu m'aimes encore" and "Flying on My Own". </s> 
wikipedia.org | <s> Delinquents may also commit crimes in order to secure funds for themselves or their loved ones, such as committing an armed robbery, as studied by many scholars (Briar & Piliavin). </s> 
wikipedia.org | <s> Crystallization is a concept, developed in 1822 by the French writer Stendhal, which describes the process, or mental metamorphosis, in which unattractive characteristics of a new love are transformed into perceptual diamonds of shimmering beauty; according to a quotation by Stendhal: What I call 'crystallization' is the operation of the mind that draws from all that presents itself the discovery that the loved object has some new perfections. </s> 
wikipedia.org | <s> Pam, Ralph and Gerard visit the Curiosity Shop to ask Mr. Jones if you can " love " a pair of old sneakers. </s> 
wikipedia.org | <s> To her surprise, her label and manager excitedly called her up saying that they loved the new demos and believed "Bill" was the perfect producer for the project. </s> 
wikipedia.org | <s> He is compelled to return to the Dolphin Hotel, a seedy establishment where he once stayed with a woman he loved , despite the fact he never even knew her real name. </s> 
wikipedia.org | <s> Brittany (Heather Morris) and Santana (Naya Rivera) sing "I Wanna Dance with Somebody (Who Loves Me)", inviting the rest of the club to dance with them during the performance. </s> 
wikipedia.org | <s> These songs are "How Will I Know" in an a cappella version sung by Riley, Rivera, Colfer and Michele, "I Wanna Dance with Somebody (Who Loves Me)", "Saving All My Love for You", "So Emotional", "It's Not Right but It's Okay", "I Have Nothing" and "My Love Is Your Love". </s> 
wikipedia.org | <s> She bought a lakefront inn, The Cedar Lake Inn, a destination she'd loved as a child and somewhere she'd always dreamed of living once she was released from prison - only to find her past catching up with her when one by one, her fellow former convicts converge on the Cedar Lake area as they are released from prison. </s> 
wikipedia.org | <s> Between 1992 and 1993, Harris had the recurring role of Molly Tilden on the sitcom Roseanne, then joined Roseanne Barr again in 1993 for the television film The Woman Who Loved Elvis, this time as daughter Priscilla. </s> 
wikipedia.org | <s> Nowadays, you can catch Dave playing around Memphis as part of the duo Mulberry Branch, along with fiddler Bill Thurman, or playing all over the Mid-South fronting Rocktown Revival, the six-piece band that Dave formed along with his cousin Frank Cox in late 2016 as a way to deliver Dave's original music as well as to perform songs from some of the greatest American artists for folks who, like themselves, love the revival of roots-based music. </s> 
wikipedia.org | <s> Rat said "I truly love Flea, Anthony, Chad, Josh and all my dear and close friends I consider family both on the road now and those that have moved on to other adventures over the years. </s> 
wikipedia.org | <s> The eldest of 4 brothers, Moore developed an early interest in the natural world as he explored his native Teesdale, an area of the UK which he loved his entire life. </s> 
wikipedia.org | <s> Positive with Robinson's performances though, she added: "Dawn will be a welcome addition to the CD collection of anyone who loves vocal music. </s> 
wikipedia.org | <s> Alone in her room, listening to love songs, she often daydreams about love and the possibility of finding an ideal man. </s> 
wikipedia.org | <s> In this first episode, we meet the rowdy frat brothers of the Delta House on the Faber College campus in 1962 and see how they love to play pranks on the uptight preppies of the Omega House and torment Dean Wormer. </s> 
wikipedia.org | <s> When Lucifer started his rebellion they joined him, as he promised them that they would be able to explain to humanity the reason that things they loved had to die. </s> 
wikipedia.org | <s> The Shining had terrified by marrying a recognisable young family to claustrophobia and an unflinching portrayal of a loved one becoming a monster. </s> 
wikipedia.org | <s> I agreed because were trying to figure out what to do with the song because we loved it so much, and we didn't want to wait until the next album to send it to radio. </s> 
wikipedia.org | <s> Its focus is on how fans came to love the show and played a part in the production of its feature film continuation Serenity. </s> 
wikipedia.org | <s> Santer praised Conlin for her portrayal of Dotty saying, "I love that little girl because she's having to play all these layers. </s> 
wikipedia.org | <s> At the bed-side there lies a stone: The bells of Paradise I heard them ring: Which the sweet Virgin Mary knelt upon: And I love my Lord Jesus above anything. </s> 
wikipedia.org | <s> He describes four phases of mourning: the initial reaction of shock, numbness, denial and disbelief; followed by pining, yearning, depression then in a healthy environment resolution phase begins with emancipation from the loved one and readjustment to the new environment. </s> 
wikipedia.org | <s> It went from that to Jim Goldberg, someone who uses all different cameras and makes collages with his photos ... David Hockney is someone who, as a photographer, someone who I have really loved and opened my eyes a lot. </s> 
wikipedia.org | <s> During his years in Oxford, Blunden published extensively: several collections of poetry including Choice or Chance (1934) and Shells by a Stream (1944), prose works on Charles Lamb; Edward Gibbon; Leigh Hunt; Percy Bysshe Shelley (Shelley: A Life Story); John Taylor; and Thomas Hardy; and a book about a game he loved , Cricket Country (1944). </s> 
wikipedia.org | <s> Electric Hands is a Japanese manga written and illustrated by Taishi Zaou, (a boys love and girls love pen-name for Mikiyo Tsuda). </s> 
wikipedia.org | <s> He tells her that his mother's death set everything that has transpired into motion, the path of violence her death set him on began with the first woman he has ever loved sacrifice-he pulls out his mother's hairpin and hands it to her-he only sees that it is fitting that it should end at the hands of the other woman he loves and asks her to kill him. </s> 
wikipedia.org | <s> He and I had loved together two years, an my lord my husband had not sent immediately word after my lady and my lord's first wife was dead, he made suit to my lord my father, or else I had been married before Christmas to my Lord of Westmorland'. </s> 
wikipedia.org | <s> Examples of EMDs guiding family members through assisting a loved one with the process of childbirth prior to the arrival of the ambulance are also quite common. </s> 
wikipedia.org | <s> Diana Bruk, writing for Country Living, agreed that, despite being "suffocating and over-involved" at times, Emily "ferociously loves her daughter", for whom she would do anything. </s> 
wikipedia.org | <s> She has a brief flirtation with Frank Churchill; however, she realises at the end of the novel that she loves Mr. Knightley. </s> 
wikipedia.org | <s> It can be traced from words like "corre", to love (from the root "cor" meaning heart) and "avoya", to travel (voyage). </s> 
wikipedia.org | <s> Psichari initially feared that he would be bored in an area of the French colonies that was relatively pacified but soon grew to love the landscape and people of Mauritania. </s> 
wikipedia.org | <s> But she rejects him in a speech, mirroring his earlier sermon, where she admits both: her love for him and the absolute loyalty that she nevertheless has for her husband. </s> 
wikipedia.org | <s> At the same time, the single resembles contemporary Disney ballads such as Sarah McLachlan's "When She Loved Me" and Phil Collins' "You'll Be In My Heart" from the animated films Toy Story 2 and Tarzan, both of which were released in 1999, respectively. </s> 
wikipedia.org | <s> However later on in the book he captures her and he tells her he loves her and she kisses him and he lets her go. </s> 
wikipedia.org | <s> Michael loves history, so he started to build his dream home on a landscape which served as a setting for Civil War battles. </s> 
wikipedia.org | <s> Above all else, I love the game and count myself very lucky to have been able to play at the highest level. </s> 
wikipedia.org | <s> Jamie and FOK had a meeting and it was decided by both parties about three months previous that I didn't belong there, I just cant do the new direction that is happening, I used to love playing those songs but I just cant do it in the way its going, I cant. </s> 
wikipedia.org | <s> Verdasco has also reached the quarterfinals twice at the US Open, in 2009 and 2010, losing to Novak Djokovic and Rafael Nadal respectively, the latter of whom went on to win the title, and once at the 2013 Wimbledon Championships, where he led eventual champion Andy Murray by two sets to love before being defeated in five sets. </s> 
wikipedia.org | <s> Grayvee makes a comment stating that she loves eating pigsfeet (with greens and cornbread) and Flav says he hates them and if he would've known she liked them, he would have named her that. </s> 
wikipedia.org | <s> Fosaj board member Regine Boucard said of McGarrell that, "Everybody loved him – the artists, the students, the community. </s> 
wikipedia.org | <s> He then takes out a gun and tells Gordon which one of them loves the most so he can kill her to get revenge for Alice's death. </s> 
wikipedia.org | <s> As she leaves, she sees Fritz running up to her; he loves her so much that he's unable to leave her. </s> 
wikipedia.org | <s> Then he tells her he knows that what she had wanted Yoon-seo to say all along was not the name of the illustrator, but that he loved her. </s> 
wikipedia.org | <s> An early 20th-century example of forced seduction is the 1919 novel The Sheik by Edith Maude Hull, in which a Western woman is held captive by an Algerian sheik and raped repeatedly, realizing after months of being raped that she loves him; The Sheik is regarded as an "ur-romance". </s> 
wikipedia.org | <s> She also collaborated with other worship artists, most notably featuring on Francesca Battistelli's single "Defender", as well as Travis Greene's "Good & Loved ". </s> 
wikipedia.org | <s> The last repetition of the chorus notably changes the lyric "Those four walls now are home" to "Those three words now are home", alluding to a shorthand for "I love you". </s> 
wikipedia.org | <s> He loved to call it the "best workshop in the convent" and its catalogue - of which Luke Wadding mentioned - contains works of the Church Fathers as well as mathematicians and preachers. </s> 
wikipedia.org | <s> Cvitanovich loved sport - especially the Dallas Cowboys - and his very first documentary was a study of a baseball player in decline. </s> 
wikipedia.org | <s> The Francophile Landes who had been born in Britain, but grew up in France was profoundly hurt by this request, and sadly left the nation he loved so much. </s> 
wikipedia.org | <s> He is back in Cairo, the Bien-Gardé, the head of the French army, general Bonaparte, who loves Mahomet's religion; he is back sound and well, thanking God for the favours he has given him. </s> 
wikipedia.org | <s> According to Strong's Greek Lexicon, the word ἀγάπη (Transliteration: agapē) means love, i.e. affection or benevolence; specially (plural) a love-feast:–(feast of) charity(-ably), dear, love . </s> 
wikipedia.org | <s> Saul Bellow, also in The New York Times, chose it for his 1952 Book of the Year selection, (calling it) the book "I love ". </s> 
wikipedia.org | <s> The decision makers loved the idea and meetings at the Brown Derby restaurant to discuss who in the industry would be deserving of the stars. </s> 
wikipedia.org | <s> He refers to the famous phrase "Make love not war" wishing he had thought of that so he could retire and go to the beach. </s> 
wikipedia.org | <s> In 1974 Harrison said of his former bandmate: "John Lennon is a saint and he's heavy-duty, and he's great and I love him. </s> 
wikipedia.org | <s> On medical advice he left London and took a house at 6 High Wickham, Hastings, Sussex, where he lived for the rest of his life, and he grew to love the town, writing Old Humphrey at Hastings during his time there. </s> 
wikipedia.org | <s> Heyer was shocked at the impropriety but soon came to love her daughter-in-law, later describing her as "the daughter we never had and thought we didn't want". </s> 
wikipedia.org | <s> Phil appears to love Georgina and knows all about her past and of her agenda against everyone she knows on the Upper East Side and he assists her in times of need despite the fact that she often treats him badly and ignores their baby, Milo, leaving Phil as the parental caregiver at home while she goes out to work her ways. </s> 
wikipedia.org | <s> When Susan says that she is having a hard time believing this, her father begins to cry and she realizes how much he loves her. </s> 
wikipedia.org | <s> James Cameron loved the band's 1991 track "Nightingale Song" but found Columbia Records' licensing fee too high (it wanted over $5,000 for the use of the one minute he wanted to use) so he contacted the band's management hoping they could re-record it for his film, only to find they had broken up in 1998 and could not. </s> 
wikipedia.org | <s> The music almost gives you this feeling of flight, and I really love singing the part at the end, which is all about rising above anybody's comments about what you do and still giving your love away. </s> 
wikipedia.org | <s> He loved obsurity. </s> 
wikipedia.org | <s> At the end of "Go God Go", Cartman is sent to the future; Parker and Stone loved the idea, in-part because it presented the opportunity for easy-to-write material. </s> 
wikipedia.org | <s> Pratchett had had many of the same issues with Hollywood 'suits', but he, too, would love to have seen the film made. </s> 
wikipedia.org | <s> However, he is caught up in the shogun's policy of religious persecution and must choose between his loved ones and his God. </s> 
wikipedia.org | <s> Others did not want to see their loved ones buried at Woodlawn Cemetery (which was denigrated as "unenclosed forest and a truck garden"), and preferred to receive money from the sale of Graceland now and make the choice of burial location themselves. </s> 
wikipedia.org | <s> The mono editions of the album feature fold-down mono mixes, with only "She Loves You" and "I'll Get You" appearing in true mono, due to the unavailability of stereo mixes at the time of the compilation. </s> 
wikipedia.org | <s> The heart of the matter is an education about the interplay of all life, the sustainable use of natural resources and the respect for and love to all creation. </s> 
wikipedia.org | <s> Giacomo Casanova describes him as the man "whose vice was that he loved boys, and his virtue that he had strangled Peter III". </s> 
wikipedia.org | <s> In order to counter the influence of Pope John X (whom the hostile chronicler Liutprand of Cremona alleges was one of Marozia's lovers), Marozia subsequently married his opponent Guy of Tuscany, who loved his beautiful wife as much as he loved power. </s> 
wikipedia.org | <s> Oh Papua, my land Where I was born and raised Thee I shall always love Till' my day of eternal rest comes I love the whiteness of your sands On your beaches, joyful Where the azure seas Sparkle bright in the day Your high peaks I adore Majestic and grand Sublime clouds, surrounding Around the tops, they do I love this land of mine Naturally abounding with bounty That shall pay me off and my labour in full Thy roaring waves, I am smitten with Ever crashing against your white, sandy beaches A melody that shall eternally In my heart remain I love the sprawling forests That this land is built upon 'Tis rapture to traipse Under its benevolent shade Thank you, oh Lord on high This land of mine, Thine creation Task me to labour ceaselessly too To spread Thy cause, far and wide. </s> 
wikipedia.org | <s> Rabbi Douek contacted President Nasser, the Red Cross, members of the Egyptian Ministry of the Interior, and other organizations to put pressure on the Egyptian government to make it easier for families to be in touch with their loved ones in detention. </s> 
wikipedia.org | <s> In both her treatment of Mannheim and Rilke, Arendt found love to be a transcendent principle "Because there is no true transcendence in this ordered world, one also cannot exceed the world, but only succeed to higher ranks". </s> 
wikipedia.org | <s> Mina loves Chitose like a real brother, but also harbors a bit of a deep crush for him and helps Chitose whenever she can. </s> 
wikipedia.org | <s> Del Toro approached the love story with a reverse Beauty and the Beast approach, stating, "I wanted the beauty to turn into a beast in the end to fully assume her mortal gifts... and when she accepts herself for what she is, a monster, then she can love the monster ." The idea of Hellboy spying on Liz and Myers was originally written for a separate script titled ''Meat Market, A Love Story''. </s> 
wikipedia.org | <s> As an officer, though distitute of the brilliancy so coveted in that character, he was highly respected by his fellow officers, and loved by the soldiers, every one of whom approached him with a certainty of being justly and kindly treated. </s> 
wikipedia.org | <s> I love auriferous words, and nothing delights me more than to pluck gems from the dictionary that otherwise might never see the light of day. </s> 
wikipedia.org | <s> The abuse and psychological trauma Jane receives from the Reeds as a child cause her to develop two central goals for her to complete her heroine journey: a need to love and to be loved, and her need for liberty. </s> 
wikipedia.org | <s> It was believed that it was the instrument which the Eastern Jin (東晉) musician Ruan Xian (阮咸) loved to play. </s> 
wikipedia.org | <s> His body was buried at Holmead's, but relatives of those already buried there decided it was an affront to their loved ones. </s> 
wikipedia.org | <s> But when he tries to buy her an engagement ring, he suffers a panic attack as he remembers his mother's dying wish from ten years earlier–that he never marry, because no woman could love him as she did ("Never Get Married"). </s> 
wikipedia.org | <s> In 1960 he moved from Conversano, a town he so loved , to Casamassima, also in the province of Bari, where he lived in conditions of almost complete destitution with his second wife Maria Lucarelli. </s> 
wikipedia.org | <s> The name Hylophilus is composed of the Greek words for "forest" or "woodland" (hulē) and "-loving" (philos, from phileō, meaning "to love "). </s> 
wikipedia.org | <s> According to the BBC4 documentary "How to Make It in the Music Business", Ross loved the record until she put it in front of Frankie Crocker, who pointed out that 'I'm Coming Out' is what homosexuals use to announce their homosexuality; she ran back to the studio in tears and demanded to know why Rodgers wanted to ruin her career. </s> 
wikipedia.org | <s> In the chorus, the singer reminds her partner that even if her partner is in a new relationship, that the singer will always be the only one who really loves them with passion. </s> 
wikipedia.org | <s> And yet I love to wander The early ways I went, And watch from doors and bridges The hills and skies of Gwent. </s> 
wikipedia.org | <s> Conversely, Phil Freeman of Allmusic said that while "those who love the band's earliest records...are bound to see Illud Divinum Insanus' experiments with industrial...as betrayals of everything the group once stood for", "many of the songs on Illud...are as raw and savage as anything the band's ever recorded", and that the album is "a left turn by a band that's already made many of them throughout its...career". </s> 
wikipedia.org | <s> Then you can love anybody or anything else – your career, your kids, your life, It's like someone emancipating themselves. </s> 
wikipedia.org | <s> The canvas who was previously Melissa Monroe's canvas in the seventh episode of Season 4 loved her tattoo but the jury hated it and they couldn't stand her arrogance, leading to Duffy being voted worst tattoo of the day despite receiving praise from the judges. </s> 
wikipedia.org | <s> First the student loved the Dai, and from the Dai he learned to love the Imām, who was but an interceder on behalf of God. </s> 
wikipedia.org | <s> J.P. had a rascally sense of humor, though; another story he loved to tell was of the Romany Gypsy family that lived in the flat above the Pickens in San Francisco in early 1963. </s> 
wikipedia.org | <s> He also said "Energy is getting so expensive it becoming prohibitive to do manufacturing in New York" David Sussman added, "I love that we can get our energy from a renewable resource instead of destroying the environment. </s> 
wikipedia.org | <s> As a result, J. T. quits the job he loves at a children's TV show to pick up more hours at the pharmacy. </s> 
wikipedia.org | <s> Her daughter Roshni Patel (Nia Sharma) believes that her mother does not love her and does not give her time and only loves money. </s> 
wikipedia.org | <s> When Jason returns home that night, he finds Sarah Newlin waiting for him outside, where she confesses that she has loved him ever since they met at the Fellowship of the Sun. </s> 
wikipedia.org | <s> Friedl was impressed by Lindsey's demos and signed him to his label, later commenting, "I loved the racket so we did the record, and I've been a fan of everything he's done since. </s> 
wikipedia.org | <s> Jayne Mansfield: Loves and Kisses: Featured as an interview in the A&E documentary hosted by Peter Graves aired in 2006. </s> 
wikipedia.org | <s> But despite her extraordinary lucidity (II 1; V 1) in analysing her violently fluctuating states of mind, she is blind to the fact that the King does not really love her (III 3), and this weakness on her part, which leads directly to the tragic peripeteia of III 7, is the hamartia from which the tragic outcome arises. </s> 
wikipedia.org | <s> Jesus is the Risen One, and whoever invokes the name of Jesus is welcoming the Son of God who loved him and who gave himself up for him. </s> 
wikipedia.org | <s> She loved comedy. </s> 
wikipedia.org | <s> The narrative begins before the Feast of the Passover, when Jesus knew that His hour (Greek: η ωρα) had come that He should depart from this world to the Father, having loved His own who were in the world, He loved them to the end. </s> 
wikipedia.org | <s> First, he was known to love the rosary, which he began to pray as a child in Spain while he shepherded his uncle's flock of sheep. </s> 
wikipedia.org | <s> Rambo, however, visibly angry and fighting back tears, says that the soldiers he rescued deserve the Medal of Honor more than he does, and he only wants the same thing as the soldiers he rescued: for their country to love its soldiers as much as its soldiers love their country. </s> 
wikipedia.org | <s> In Mark and Luke, Jesus himself sees the heavens open and hears a voice address him personally, saying, "You are my dearly loved son; you bring me great joy". </s> 
wikipedia.org | <s> In its 2018 Q3 earning report, Netflix noted that To All The Boys I've Loved Before was one of its most-viewed original films ever. </s> 
wikipedia.org | <s> Hagen feels that Angelou's best love poem in Diiie is "The Mothering Blackness", which uses repetition and biblical allusions to state that the Black mother loves and forgives her children unconditionally. </s> 
wikipedia.org | <s> They end up together and will end up loving each other (without either of them knowing at first in the beginning of the anime). </s> 
wikipedia.org | <s> Meanwhile, Chandrika has fallen love with Vasanthakumar, creating a love triangle between the trio: Chandrika loves Vasanthakumar, Vasanthakumar loves Megala, and Megala loves "Kalaimani", not knowing it is Chandrika. </s> 
